county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag,vote_diff,cumulative_at_least_one_dose_per_capita
Alameda,2021-07-01,3475,2083938,2727,1306512,597,673425,151,104001,1240,101105,2212,1040369,1388,1141474,California,-0.6252403021832428,0.6792547367418833
Alpine,2021-07-01,1,1504,1,32,0,1465,0,7,0,134,1,687,0,821,California,-0.3130904183535762,0.6790736145574855
Amador,2021-07-01,32,34185,16,8641,13,24442,3,1102,15,5398,17,14914,18,20312,California,0.24356559949780293,0.5022004648172872
Butte,2021-07-01,358,172668,230,80909,108,85027,20,6732,144,10522,213,84103,164,94625,California,-0.016620607200956483,0.4806227143437627
Calaveras,2021-07-01,40,38089,24,15814,11,21258,5,1017,20,3640,19,17654,25,21294,California,0.23825651597702846,0.45972495088408644
Colusa,2021-07-01,48,17060,23,3904,24,12432,1,724,20,1297,28,8230,21,9527,California,0.1660168532260093,0.4369181380417336
Contra Costa,2021-07-01,2110,1454815,1767,964597,236,443711,107,46507,858,55323,1242,721445,968,776768,California,-0.45336441684014933,0.6698932335236387
Del Norte,2021-07-01,22,18216,8,6311,10,11003,4,902,7,1208,15,8915,11,10123,California,0.15578064966818028,0.3621047360137359
El Dorado,2021-07-01,235,184362,136,85882,83,91702,16,6778,90,10779,145,89811,104,100590,California,0.08797292875716817,0.5105132538558748
Fresno,2021-07-01,1601,840787,1164,433304,371,376678,66,30805,696,70032,893,400890,760,470922,California,-0.07829028340857813,0.46469508584961516
Glenn,2021-07-01,56,21378,40,8121,13,12156,3,1101,16,1024,40,10697,19,11721,California,0.2716967764789231,0.40078645922379896
Humboldt,2021-07-01,199,133975,113,66624,68,61024,18,6327,90,8007,107,65826,108,73833,California,-0.3341372697158133,0.5502287869077251
Imperial,2021-07-01,806,203804,577,99190,213,90755,16,13859,392,25990,407,95781,408,121771,California,-0.2438555661342079,0.6742617622467455
Inyo,2021-07-01,13,16699,8,6196,5,9972,0,531,7,751,6,8224,7,8975,California,-0.0014766374854973119,0.4924554183813443
Kern,2021-07-01,1391,628548,890,316339,437,283480,64,28729,637,48906,750,302956,701,351862,California,0.10195068572139993,0.3853530320121784
Kings,2021-07-01,136,87519,91,38891,38,44077,7,4551,66,7769,68,42106,73,49875,California,0.12250900633863837,0.3195968114010355
Lake,2021-07-01,118,51352,53,14850,58,34187,7,2315,40,3276,74,25119,47,28395,California,-0.06312500000000004,0.4400688116049842
Lassen,2021-07-01,25,11444,13,1430,10,9052,2,962,16,624,8,5858,17,6482,California,0.5148936170212766,0.2126431125545386
Los Angeles,2021-07-01,20235,10788650,14358,5809839,4858,4558484,1019,420327,9143,747327,10963,5208738,10147,5956065,California,-0.4417450872452148,0.5974280581492972
Madera,2021-07-01,189,117783,119,58634,46,54419,24,4730,78,9413,110,56764,102,66177,California,0.11559510070362239,0.4182673164072129
Marin,2021-07-01,273,376662,205,237555,48,127963,20,11144,107,15476,164,185566,127,201042,California,-0.6654386043735278,0.7817961221680394
Mariposa,2021-07-01,22,12661,17,2393,3,9772,2,496,9,2748,13,5198,11,7946,California,0.18112840466926078,0.47300434549675574
Mendocino,2021-07-01,114,90260,66,49055,38,38119,10,3086,64,6030,49,43419,74,49449,California,-0.3580164297581687,0.5787231552460648
Merced,2021-07-01,383,193768,258,110779,111,74309,14,8680,216,28217,167,86016,231,114233,California,-0.1059630443666405,0.40118635377083495
Modoc,2021-07-01,23,5535,11,704,1,4475,11,356,9,291,14,2796,20,3087,California,0.4515905947441217,0.34595987896447383
Mono,2021-07-01,8,16340,1,9261,4,6779,3,300,2,695,6,7955,5,8650,California,-0.2226510316164465,0.5954839597962275
Monterey,2021-07-01,798,456580,543,212675,232,223826,23,20079,366,31096,425,221983,388,253079,California,-0.4128189012893345,0.5827513395642934
Napa,2021-07-01,169,176140,114,90415,46,80747,9,4978,77,11581,91,84524,85,96105,California,-0.4040514683453038,0.7084568092352603
Nevada,2021-07-01,121,100273,82,53662,27,44058,12,2553,51,7023,68,47600,63,54623,California,-0.14798109302110046,0.5448732655687338
Orange,2021-07-01,6056,3532970,4626,1979153,1178,1444641,252,109176,2773,200507,3221,1714230,3026,1914737,California,-0.09036521053409774,0.6030420801667963
Placer,2021-07-01,561,404169,381,228668,142,165557,38,9944,229,20988,329,196037,267,217025,California,0.06645902211329391,0.5289074323649187
Plumas,2021-07-01,45,16252,30,1677,11,13586,4,989,23,766,22,8197,27,8963,California,0.1673773987206823,0.4732562437298696
Riverside,2021-07-01,4760,2083573,3306,1166239,1147,856460,307,60874,2224,156638,2505,992816,2539,1149454,California,-0.0795487855315834,0.4561216796425482
Sacramento,2021-07-01,2878,1517775,1915,839453,800,637030,163,41292,1233,94783,1625,729582,1394,824365,California,-0.25254841359339547,0.5221862568728305
San Benito,2021-07-01,132,62908,103,34471,20,25583,9,2854,53,5112,78,30106,60,35218,California,-0.24419693973144585,0.5377614903038632
San Bernardino,2021-07-01,4245,1720134,3030,994555,1045,671477,170,54102,2086,123617,2136,822645,2257,946262,California,-0.106550953645424,0.42880344397870174
San Diego,2021-07-01,7193,3765001,4969,1997513,1823,1628791,401,138697,3078,537823,4104,1831968,4040,2369791,California,-0.2276025427633509,0.7079772471297505
San Francisco,2021-07-01,1200,1205553,945,770614,176,386097,79,48842,485,55325,702,597540,562,652865,California,-0.725523048405937,0.7391580008038449
San Joaquin,2021-07-01,1593,656873,1098,362436,399,271798,96,22639,695,73417,886,301461,790,374878,California,-0.13881078757328136,0.47971366489989276
San Luis Obispo,2021-07-01,470,287185,310,146819,142,129970,18,10396,206,18210,261,139184,224,157394,California,-0.13072312923892015,0.5569004865103936
San Mateo,2021-07-01,1238,1027649,1050,626938,126,364483,62,36228,502,51494,713,504507,564,556001,California,-0.5769181425035681,0.7293184164374433
Santa Barbara,2021-07-01,1065,473240,795,273048,121,179671,149,20521,410,31173,653,230543,558,261716,California,-0.32067323054801083,0.5842696629213483
Santa Clara,2021-07-01,3554,2608844,2815,1670544,547,843156,192,95144,1341,121687,2188,1286799,1531,1408486,California,-0.47424405247600887,0.7340146335362294
Santa Cruz,2021-07-01,394,322350,282,155373,100,159224,12,7753,175,23045,218,153048,187,176093,California,-0.6029793640708307,0.6475030979162147
Shasta,2021-07-01,204,118006,133,51463,60,60707,11,5836,79,11447,123,56020,90,67467,California,0.3314208826695372,0.3731127849487341
Sierra,2021-07-01,3,2792,1,168,2,2587,0,37,2,59,1,1380,2,1439,California,0.2134715025906736,0.47633234028467397
Siskiyou,2021-07-01,34,32622,22,13209,7,18505,5,908,12,2377,22,15529,17,17906,California,0.15765458422174838,0.4114713790013098
Solano,2021-07-01,665,447668,489,239143,112,196560,64,11965,253,42383,410,207983,317,250366,California,-0.3028358216206499,0.5545462801149112
Sonoma,2021-07-01,972,608815,760,330343,140,259903,72,18569,424,33268,544,295814,494,329082,California,-0.514862890118247,0.6775110042369915
Stanislaus,2021-07-01,982,457087,640,255740,303,185205,39,16142,477,56590,496,206870,516,263460,California,-0.007892924291219128,0.4740808453056171
Sutter,2021-07-01,206,80054,174,31466,25,44873,7,3715,75,6010,130,38620,82,44630,California,0.16435272045028143,0.4544019874359836
Tehama,2021-07-01,65,38086,32,13431,30,23261,3,1394,40,2257,25,18563,43,20820,California,0.3561853695901953,0.30974767912401807
Trinity,2021-07-01,31,8844,12,1440,12,6870,7,534,10,670,21,4341,17,5011,California,0.053851070629594155,0.4275232488695504
Tulare,2021-07-01,823,336546,618,194024,171,132596,34,9926,383,25845,433,159728,416,185573,California,0.07814372888743598,0.39533496517947114
Tuolumne,2021-07-01,37,45408,16,11955,14,32597,7,856,24,3220,13,21413,31,24633,California,0.18785566264267622,0.45065861690450054
Ventura,2021-07-01,1481,933417,1097,487363,306,413814,78,32240,632,54876,838,453844,709,508720,California,-0.21098041627828856,0.6043714522640169
Yolo,2021-07-01,310,240418,175,114616,103,118865,32,6937,112,14870,195,115949,143,130819,California,-0.4143979272906728,0.5912349049099718
Yuba,2021-07-01,122,47799,84,16853,30,27968,8,2978,45,3457,76,23582,53,27039,California,0.21640312888172697,0.3342687600445049
