county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag
San Mateo,2020-12-15,26,26,26,26,0,0,0,0,26,26,0,0,26,26,California
San Mateo,2020-12-16,117,143,117,143,0,0,0,0,117,143,0,0,117,143,California
San Mateo,2020-12-17,173,316,173,316,0,0,0,0,173,316,0,0,173,316,California
San Mateo,2020-12-18,769,1085,767,1083,2,2,0,0,769,1085,0,0,769,1085,California
San Mateo,2020-12-19,506,1591,506,1589,0,2,0,0,506,1591,0,0,506,1591,California
San Mateo,2020-12-20,507,2098,506,2095,1,3,0,0,507,2098,0,0,507,2098,California
San Mateo,2020-12-21,1131,3229,1130,3225,1,4,0,0,1131,3229,0,0,1131,3229,California
San Mateo,2020-12-22,1507,4736,1499,4724,8,12,0,0,1506,4734,1,1,1506,4735,California
San Mateo,2020-12-23,1539,6275,1355,6079,184,196,0,0,1539,6273,0,1,1539,6274,California
San Mateo,2020-12-24,867,7142,612,6691,255,451,0,0,867,7140,0,1,867,7141,California
San Mateo,2020-12-25,113,7255,109,6800,4,455,0,0,113,7253,0,1,113,7254,California
San Mateo,2020-12-26,557,7812,417,7217,140,595,0,0,557,7810,0,1,557,7811,California
San Mateo,2020-12-27,298,8110,166,7383,132,727,0,0,298,8108,0,1,298,8109,California
San Mateo,2020-12-28,1060,9170,718,8101,342,1069,0,0,1060,9168,0,1,1060,9169,California
San Mateo,2020-12-29,1138,10308,719,8820,419,1488,0,0,1138,10306,0,1,1138,10307,California
San Mateo,2020-12-30,1273,11581,767,9587,506,1994,0,0,1273,11579,0,1,1273,11580,California
San Mateo,2020-12-31,708,12289,227,9814,481,2475,0,0,707,12285,1,2,707,12287,California
San Mateo,2021-01-01,113,12402,77,9891,36,2511,0,0,113,12398,0,2,113,12400,California
San Mateo,2021-01-02,392,12794,267,10158,125,2636,0,0,392,12790,0,2,392,12792,California
San Mateo,2021-01-03,280,13074,204,10362,76,2712,0,0,277,13064,3,5,277,13069,California
San Mateo,2021-01-04,1053,14127,680,11042,373,3085,0,0,1053,14117,0,5,1053,14122,California
San Mateo,2021-01-05,1206,15333,712,11754,494,3579,0,0,1172,15256,34,39,1173,15295,California
San Mateo,2021-01-06,1471,16804,967,12721,504,4083,0,0,1278,16345,190,229,1279,16574,California
San Mateo,2021-01-07,1448,18252,807,13528,641,4724,0,0,1146,17196,295,524,1146,17720,California
San Mateo,2021-01-08,1867,20119,1213,14741,654,5378,0,0,1156,17645,707,1231,1156,18876,California
San Mateo,2021-01-09,1168,21287,771,15512,397,5775,0,0,715,17907,453,1684,715,19591,California
San Mateo,2021-01-10,702,21989,575,16087,127,5902,0,0,263,17731,439,2123,263,19854,California
San Mateo,2021-01-11,2619,24608,1507,17594,1112,7014,0,0,1545,18205,1074,3197,1548,21402,California
San Mateo,2021-01-12,3437,28045,1923,19517,1514,8528,0,0,2227,19231,1205,4402,2231,23633,California
San Mateo,2021-01-13,3407,31452,1662,21179,1745,10273,0,0,2370,20566,1037,5439,2372,26005,California
San Mateo,2021-01-14,3813,35265,1627,22806,2186,12459,0,0,3108,22976,703,6142,3113,29118,California
San Mateo,2021-01-15,4335,39600,1726,24532,2609,15068,0,0,3799,26247,530,6672,3801,32919,California
San Mateo,2021-01-16,3102,42702,774,25306,2328,17396,0,0,2772,28691,329,7001,2773,35692,California
San Mateo,2021-01-17,1319,44021,312,25618,1007,18403,0,0,1106,29585,212,7213,1106,36798,California
San Mateo,2021-01-18,1368,45389,542,26160,826,19229,0,0,987,30194,378,7591,987,37785,California
San Mateo,2021-01-19,2795,48184,1792,27952,1003,20232,0,0,1987,31377,804,8395,1987,39772,California
San Mateo,2021-01-20,2982,51166,1733,29685,1249,21481,0,0,2135,32669,844,9239,2136,41908,California
San Mateo,2021-01-21,2916,54082,1356,31041,1560,23041,0,0,2316,34391,597,9836,2319,44227,California
San Mateo,2021-01-22,2830,56912,1159,32200,1671,24712,0,0,2532,36629,295,10131,2533,46760,California
San Mateo,2021-01-23,2871,59783,1672,33872,1199,25911,0,0,2513,38784,358,10489,2513,49273,California
San Mateo,2021-01-24,1503,61286,370,34242,1133,27044,0,0,1199,39681,303,10792,1200,50473,California
San Mateo,2021-01-25,4396,65682,3133,37375,1263,28307,0,0,3498,42289,894,11686,3502,53975,California
San Mateo,2021-01-26,4330,70012,3005,40380,1325,29632,0,0,3394,44751,933,12619,3395,57370,California
San Mateo,2021-01-27,2810,72822,1471,41851,1339,30971,0,0,1787,45520,1019,13638,1788,59158,California
San Mateo,2021-01-28,2815,75637,1368,43219,1447,32418,0,0,1960,46641,839,14477,1960,61118,California
San Mateo,2021-01-29,3001,78638,1365,44584,1636,34054,0,0,2145,47936,853,15330,2148,63266,California
San Mateo,2021-01-30,3503,82141,1489,46073,2014,36068,0,0,3044,50523,458,15788,3045,66311,California
San Mateo,2021-01-31,1681,83822,898,46971,783,36851,0,0,1516,51877,162,15950,1516,67827,California
San Mateo,2021-02-01,2927,86749,1349,48320,1578,38429,0,0,2201,53358,721,16671,2202,70029,California
San Mateo,2021-02-02,3205,89954,1736,50056,1469,39898,0,0,2170,54497,1031,17702,2170,72199,California
San Mateo,2021-02-03,5007,94961,2051,52107,2956,42854,0,0,3860,57214,1144,18846,3861,76060,California
San Mateo,2021-02-04,6203,101164,2501,54608,3702,46556,0,0,4915,60851,1282,20128,4919,80979,California
San Mateo,2021-02-05,6814,107978,2549,57157,4265,50821,0,0,4969,63994,1826,21954,4969,85948,California
San Mateo,2021-02-06,3281,111259,1919,59076,1362,52183,0,0,2615,65950,661,22615,2617,88565,California
San Mateo,2021-02-07,1885,113144,1342,60418,543,52726,0,0,1694,67455,189,22804,1694,90259,California
San Mateo,2021-02-08,5292,118436,2267,62685,3025,55751,0,0,3112,68451,2116,24920,3112,93371,California
San Mateo,2021-02-09,6132,124568,3167,65852,2965,58716,0,0,3277,68882,2846,27766,3277,96648,California
San Mateo,2021-02-10,6581,131149,3309,69161,3272,61988,0,0,3296,68912,3266,31032,3296,99944,California
San Mateo,2021-02-11,7096,138245,3610,72771,3486,65474,0,0,3785,69395,3304,34336,3787,103731,California
San Mateo,2021-02-12,6684,144929,3012,75783,3672,69146,0,0,4726,72173,1950,36286,4728,108459,California
San Mateo,2021-02-13,6233,151162,4134,79917,2099,71245,0,0,2651,71249,3575,39861,2651,111110,California
San Mateo,2021-02-14,4749,155911,3129,83046,1620,72865,0,0,1986,70481,2755,42616,1987,113097,California
San Mateo,2021-02-15,3155,159066,1451,84497,1704,74569,0,0,1770,70875,1377,43993,1771,114868,California
San Mateo,2021-02-16,7186,166252,1889,86386,5297,79866,0,0,5304,74302,1879,45872,5306,120174,California
San Mateo,2021-02-17,7116,173368,1954,88340,5162,85028,0,0,5054,77303,2054,47926,5055,125229,California
San Mateo,2021-02-18,6795,180163,4708,93048,2087,87115,0,0,4516,79550,2273,50199,4520,129749,California
San Mateo,2021-02-19,7862,188025,5860,98908,2002,89117,0,0,5818,83334,2035,52234,5819,135568,California
San Mateo,2021-02-20,3848,191873,2468,101376,1380,90497,0,0,2371,84238,1468,53702,2372,137940,California
San Mateo,2021-02-21,2675,194548,1820,103196,855,91352,0,0,1586,84743,1082,54784,1587,139527,California
San Mateo,2021-02-22,4619,199167,3360,106556,1259,92611,0,0,2901,85934,1711,56495,2902,142429,California
San Mateo,2021-02-23,4480,203647,3224,109780,1256,93867,0,0,2593,86653,1874,58369,2593,145022,California
San Mateo,2021-02-24,7596,211243,3409,113189,4187,98054,0,0,5023,89115,2562,60931,5024,150046,California
San Mateo,2021-02-25,9668,220911,4285,117474,5383,103437,0,0,6329,92126,3319,64250,6330,156376,California
San Mateo,2021-02-26,10303,231214,3971,121445,6332,109769,0,0,7105,96057,3176,67426,7107,163483,California
San Mateo,2021-02-27,7217,238431,3719,125164,3498,113267,0,0,3879,96617,3326,70752,3886,167369,California
San Mateo,2021-02-28,4591,243022,2829,127993,1762,115029,0,0,2753,97545,1826,72578,2754,170123,California
San Mateo,2021-03-01,6220,249242,3920,131913,2296,117325,4,4,3056,97461,3146,75724,3062,173185,California
San Mateo,2021-03-02,6344,255586,4511,136424,1832,119157,1,5,3649,98428,2685,78409,3652,176837,California
San Mateo,2021-03-03,8726,264312,4058,140482,4666,123823,2,7,3709,97140,5000,83409,3712,180549,California
San Mateo,2021-03-04,8767,273079,4092,144574,4671,128494,4,11,3896,96197,4845,88254,3902,184451,California
San Mateo,2021-03-05,9475,282554,6363,150937,3108,131602,4,15,6640,100033,2811,91065,6647,191098,California
San Mateo,2021-03-06,8019,290573,5579,156516,2260,133862,180,195,5868,103943,2136,93201,6046,197144,California
San Mateo,2021-03-07,3692,294265,2447,158963,1094,134956,151,346,2128,104664,1560,94761,2281,199425,California
San Mateo,2021-03-08,4563,298828,2558,161521,1767,136723,238,584,3305,106951,1251,96012,3538,202963,California
San Mateo,2021-03-09,5475,304303,2864,164385,2315,139038,296,880,3827,109434,1634,97646,4117,207080,California
San Mateo,2021-03-10,7270,311573,2912,167297,4058,143096,300,1180,4840,112151,2415,100061,5132,212212,California
San Mateo,2021-03-11,9147,320720,5736,173033,3014,146110,397,1577,3639,110705,5474,105535,4028,216240,California
San Mateo,2021-03-12,10617,331337,6696,179729,3533,149643,388,1965,3577,107644,7017,112552,3956,220196,California
San Mateo,2021-03-13,8286,339623,3518,183247,3127,152770,1641,3606,4037,109064,4232,116784,5652,225848,California
San Mateo,2021-03-14,4999,344622,3382,186629,1512,154282,105,3711,2654,109482,2337,119121,2755,228603,California
San Mateo,2021-03-15,7187,351809,4639,191268,2367,156649,181,3892,3724,109934,3452,122573,3904,232507,California
San Mateo,2021-03-16,11992,363801,4397,195665,7471,164120,124,4016,4787,107666,7182,129755,4914,237421,California
San Mateo,2021-03-17,10949,374750,4456,200121,6345,170465,148,4164,4889,106675,6027,135782,5036,242457,California
San Mateo,2021-03-18,7389,382139,4167,204288,3030,173495,192,4356,4360,108205,3018,138800,4548,247005,California
San Mateo,2021-03-19,7529,389668,4875,209163,1981,175476,673,5029,3587,108536,3927,142727,4258,251263,California
San Mateo,2021-03-20,8541,398209,6593,215756,1609,177085,339,5368,5416,111181,3109,145836,5754,257017,California
San Mateo,2021-03-21,4258,402467,3248,219004,783,177868,227,5595,2257,111674,1987,147823,2480,259497,California
San Mateo,2021-03-22,5332,407799,3651,222655,1264,179132,417,6012,2784,112343,2530,150353,3199,262696,California
San Mateo,2021-03-23,9956,417755,4567,227222,5195,184327,194,6206,4402,111419,5520,155873,4596,267292,California
San Mateo,2021-03-24,9597,427352,5509,232731,3943,188270,145,6351,4047,110136,5472,161345,4189,271481,California
San Mateo,2021-03-25,10272,437624,5004,237735,4956,193226,312,6663,4387,109062,5775,167120,4701,276182,California
San Mateo,2021-03-26,11382,449006,7823,245558,3389,196615,170,6833,4228,106355,7105,174225,4398,280580,California
